price,meters,rooms,Fix_zone,Fix_place_type,Fix_operation,currency,subzone1,subzone2,subzone3,Date,Urls
130000,56,2,Bsas Gba Norte,departamento,alquiler,$,Pilar,Pilar, Condominio Tortugas I Y Ii,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1301669756-departamento-de-dos-ambientes-en-alquiler-en-condominio-tortugas-ii-_JM
62000,40,2,Bsas Gba Norte,departamento,alquiler,$,San Miguel,San Miguel, Muñiz,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1301663724-en-alquiler-dpto-2-ambientes-con-cochera-muniz-_JM
100000,40,2,Bsas Gba Norte,departamento,alquiler,$,Tigre,Tigre,Saenz Peña  900,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302707500-departamento-2-ambientes-tigre-centro-_JM
56000,40,1,Bsas Gba Norte,departamento,alquiler,$,Escobar,Escobar, Ingeniero Maschwitz,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1301675492-departamento-ingeniero-maschwitz-_JM
48000,38,2,Bsas Gba Norte,departamento,alquiler,$,Malvinas Argentinas,Malvinas Argentinas, Los Polvorines,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302472771-se-alquila-departamento-en-los-polvorines-con-patio-_JM
190000,70,3,Bsas Gba Norte,departamento,alquiler,$,Pilar,Pilar,Av. Patricias Argentinas Al 1100,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302476871-tortugas-i-alquiler-anual-sin-muebles-lindisimo-y-tranqui-_JM
180000,72,3,Bsas Gba Norte,departamento,alquiler,$,San Isidro,San Isidro, Jardines De San Isidro,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302471610-jardines-de-san-isidro-departamento-en-alquiler-2-dormitorios-2-banos-_JM
140000,75,3,Bsas Gba Norte,departamento,alquiler,$,San Isidro,San Isidro, Entre Moreno Y Av. Centenario,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302137784-departamento-san-isidro-_JM
80000,35,2,Bsas Gba Norte,departamento,alquiler,$,San Miguel,San Miguel,Av. Pte Peron Al 1083,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302489736-departamento-centro-smig-_JM
75000,70,3,Bsas Gba Norte,departamento,alquiler,$,San Miguel,San Miguel,Gaspar Campos  Sn,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1301657583-se-alquila-departamento-en-san-miguel-_JM
42000,34,1,Bsas Gba Norte,departamento,alquiler,$,Pilar,Pilar, Argentina,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1301649301-departamento-monoambiente-en-alquiler-pilar-centro-_JM
40000,40,2,Bsas Gba Norte,departamento,alquiler,$,Tigre,Tigre, General Pacheco,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302998521-alquiler-en-las-tunas-2-ambientes-_JM
85000,86,3,Bsas Gba Norte,departamento,alquiler,$,General San Martin,General San Martín, San Martín Centro,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302529868-alquiler-3-ambientes-san-martin-centro-_JM
70000,55,2,Bsas Gba Norte,departamento,alquiler,$,Pilar,Pilar, Argentina,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1301656002-2-ambientes-ccochera-en-p-garden-pilar-_JM
173000,117,4,Bsas Gba Norte,departamento,alquiler,$,Vicente Lopez,Vicente López, Olivos,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302549699-departamento-olivos-viasrio-_JM
60000,35,1,Bsas Gba Norte,departamento,alquiler,$,Pilar,Pilar, Argentina,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302528131-monoambiente-en-concord-pilar-_JM
98000,50,2,Bsas Gba Norte,departamento,alquiler,$,Pilar,Pilar, Argentina,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1301642487-alquiler-2-ambientes-con-cochera-condominio-bosque-alto-_JM
89000,67,3,Bsas Gba Norte,departamento,alquiler,$,General San Martin,General San Martín, Villa Maipú,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302521681-alquiler-departamento-3-ambientes-en-villa-maipu-san-martin-_JM
75000,37,2,Bsas Gba Norte,departamento,alquiler,$,San Isidro,San Isidro, Acassuso,2023/01/07,https://departamento.mercadolibre.com.ar/MLA-1302536016-departamento-reciclado-a-nuevo-_JM
250000,144,5,Bsas Gba Norte,casa,alquiler,$,Escobar,Escobar,Casa Lote 302 En Alquiler En El Ensueño!!,2023/01/07,https://casa.mercadolibre.com.ar/MLA-1302537286-casa-lote-302-en-alquiler-en-el-ensueno-_JM
