price,meters,rooms,Fix_zone,Fix_place_type,Fix_operation,currency,subzone1,subzone2,subzone3,Date,Urls
235000,91,4,Capital Federal,departamento,alquiler,$,Villa del Parque,Villa del Parque,0,2023/01/03,/departamento-en-alquiler-en-villa-del-parque-4-ambientes--12454566
80000,40,1,Capital Federal,departamento,alquiler,$,Almagro,Almagro,0,2023/01/03,/departamento-en-alquiler-en-almagro-1-ambiente--12387375
75000,30,1,Capital Federal,departamento,alquiler,$,Almagro,Almagro,0,2023/01/03,/departamento-en-alquiler-en-almagro-1-ambiente--12387348
55000,27,1,Capital Federal,departamento,alquiler,$,Centro,Retiro,0,2023/01/03,/departamento-en-alquiler-en-retiro-1-ambiente--12454544
65000,27,1,Capital Federal,departamento,alquiler,$,Balvanera,Balvanera,0,2023/01/03,/departamento-en-alquiler-en-balvanera-1-ambiente--12229831
85000,43,1,Capital Federal,departamento,alquiler,$,Caballito,Caballito,0,2023/01/03,/departamento-en-alquiler-en-caballito-2-ambientes--12454378
80000,50,2,Capital Federal,departamento,alquiler,$,Villa Crespo,Villa Crespo,0,2023/01/03,/departamento-en-alquiler-en-villa-crespo-2-ambientes--12455412
175000,100,4,Capital Federal,departamento,alquiler,$,Balvanera,Balvanera,0,2023/01/03,/departamento-en-alquiler-en-balvanera-5-ambientes--12453865
60000,30,1,Capital Federal,departamento,alquiler,$,Floresta,Floresta,0,2023/01/03,/departamento-en-alquiler-en-floresta-1-ambiente--12455372
80000,41,2,Capital Federal,departamento,alquiler,$,Flores,Flores Norte,0,2023/01/03,/departamento-en-alquiler-en-flores-norte-2-ambientes--12455375
60000,54,2,Capital Federal,departamento,alquiler,$,Liniers,Liniers,0,2023/01/03,/departamento-en-alquiler-en-liniers-2-ambientes--11710693
115000,53,2,Capital Federal,departamento,alquiler,$,Caballito,Caballito,0,2023/01/03,/departamento-en-alquiler-en-caballito-2-ambientes--12450493
130000,70,3,Capital Federal,departamento,alquiler,$,Caballito,Caballito,0,2023/01/03,/departamento-en-alquiler-en-caballito-3-ambientes--12450502
55000,37,1,Capital Federal,departamento,alquiler,$,Caballito,Caballito,0,2023/01/03,/departamento-en-alquiler-en-caballito-1-ambiente--12450471
80000,40,2,Capital Federal,departamento,alquiler,$,Barracas,Barracas,0,2023/01/03,/departamento-en-alquiler-en-barracas-2-ambientes--12455343
225000,70,4,Capital Federal,departamento,alquiler,$,Caballito,Caballito,0,2023/01/03,/departamento-en-alquiler-en-caballito-4-ambientes--12455335
80000,30,1,Capital Federal,departamento,alquiler,$,Villa Pueyrredon,Villa Pueyrredon,0,2023/01/03,/departamento-en-alquiler-en-villa-pueyrredon-1-ambiente--12454628
85000,34,3,Capital Federal,departamento,alquiler,$,Congreso,Congreso,0,2023/01/03,/departamento-en-alquiler-en-congreso-3-ambientes--12455276
90000,65,3,Capital Federal,departamento,alquiler,$,Balvanera,Balvanera,0,2023/01/03,/departamento-en-alquiler-en-balvanera-3-ambientes--6553349
50000,27,1,Capital Federal,departamento,alquiler,$,Balvanera,Balvanera,0,2023/01/03,/departamento-en-alquiler-en-balvanera-1-ambiente--12455254
100000,55,3,Capital Federal,departamento,alquiler,$,Villa Ortuzar,Villa Ortuzar,0,2023/01/03,/departamento-en-alquiler-en-villa-ortuzar-3-ambientes--12454036
70000,30,1,Capital Federal,departamento,alquiler,$,Barrio Norte,Barrio Norte,0,2023/01/03,/departamento-en-alquiler-en-barrio-norte-1-ambiente--12451896
75000,47,2,Capital Federal,departamento,alquiler,$,Flores,Flores,0,2023/01/03,/departamento-en-alquiler-en-flores-2-ambientes--12439075
87000,58,3,Capital Federal,departamento,alquiler,$,Paternal,Paternal,0,2023/01/03,/departamento-en-alquiler-en-paternal-3-ambientes--11985559
120000,45,2,Capital Federal,departamento,alquiler,$,Centro,Retiro,0,2023/01/03,/departamento-en-alquiler-en-retiro-2-ambientes--12412719
125000,46,2,Capital Federal,departamento,alquiler,$,Urquiza,Villa Urquiza,0,2023/01/03,/departamento-en-alquiler-en-villa-urquiza-2-ambientes--12454995
165000,82,4,Capital Federal,departamento,alquiler,$,Barrio Norte,Recoleta,0,2023/01/03,/departamento-en-alquiler-en-recoleta-4-ambientes--7971915
180000,45,2,Capital Federal,departamento,alquiler,$,Palermo,Palermo Chico,0,2023/01/03,/departamento-en-alquiler-en-palermo-chico-2-ambientes--12427898
95000,43,2,Capital Federal,departamento,alquiler,$,Urquiza,Villa Urquiza,0,2023/01/03,/departamento-en-alquiler-en-villa-urquiza-2-ambientes--12432667
60000,35,2,Capital Federal,departamento,alquiler,$,Palermo,Palermo,0,2023/01/03,/departamento-en-alquiler-en-palermo-2-ambientes--12453565
95000,60,3,Capital Federal,departamento,alquiler,$,Caballito,Caballito,0,2023/01/03,/departamento-en-alquiler-en-caballito-3-ambientes--12454906
85000,38,2,Capital Federal,departamento,alquiler,$,Belgrano,Belgrano C,0,2023/01/03,/departamento-en-alquiler-en-belgrano-c-2-ambientes--12454364
100000,50,1,Capital Federal,departamento,alquiler,$,Palermo,Palermo,0,2023/01/03,/departamento-en-alquiler-en-palermo-1-ambiente--12412319
200000,112,3,Capital Federal,departamento,alquiler,$,Barrio Norte,Recoleta,0,2023/01/03,/departamento-en-alquiler-en-recoleta-3-ambientes--12426325
63000,31,1,Capital Federal,departamento,alquiler,$,San Cristobal,San Cristobal,0,2023/01/03,/departamento-en-alquiler-en-san-cristobal-1-ambiente--7985441
159000,41,2,Capital Federal,departamento,alquiler,$,Villa Crespo,Villa Crespo,0,2023/01/03,/departamento-en-alquiler-en-villa-crespo-2-ambientes--12369009
79000,40,1,Capital Federal,departamento,alquiler,$,Almagro,Almagro,0,2023/01/03,/departamento-en-alquiler-en-almagro-1-ambiente--4117489
70000,60,3,Capital Federal,departamento,alquiler,$,Caballito,Caballito,0,2023/01/03,/departamento-en-alquiler-en-caballito-3-ambientes--4273220
180000,112,4,Capital Federal,departamento,alquiler,$,Belgrano,Belgrano,0,2023/01/03,/departamento-en-alquiler-en-belgrano-5-ambientes--12146626
95000,45,2,Capital Federal,departamento,alquiler,$,Urquiza,Urquiza R,0,2023/01/03,/departamento-en-alquiler-en-urquiza-r-2-ambientes--12454843
198000,92,4,Capital Federal,departamento,alquiler,$,Barrio Norte,Recoleta,0,2023/01/03,/departamento-en-alquiler-en-recoleta-4-ambientes--12379762
